,prediction,observed_value,classifier,name_short,matrix,polarity,fold
13,0.007904726,False,pytorch_NN,Phenylalanine,9AA,positive,6
14,0.00010628018,False,pytorch_NN,Phosphoenolpyruvic acid,9AA,positive,6
15,0.4453664,False,pytorch_NN,Proline,9AA,positive,6
0,0.9963798,True,pytorch_NN,PC (O) C16-18:1,9AA,positive,7
1,0.9976835,True,pytorch_NN,PC 15:0-18:1,9AA,positive,7
2,0.43502104,True,pytorch_NN,PG 16:0-18:1,9AA,positive,7
3,0.045641284,True,pytorch_NN,PS (POPS) 16:0-18:1,9AA,positive,7
4,0.22598533,True,pytorch_NN,Pantetheine,9AA,positive,7
5,0.9895291,True,pytorch_NN,Propionylcarnitine,9AA,positive,7
6,0.4660678,False,pytorch_NN,Putrescine,9AA,positive,7
7,0.00054419664,False,pytorch_NN,Pyruvic acid,9AA,positive,7
8,0.028361533,False,pytorch_NN,Quinolinic acid,9AA,positive,7
9,0.007663474,False,pytorch_NN,Retinoic acid,9AA,positive,7
10,0.16888522,False,pytorch_NN,Ribulose,9AA,positive,7
11,0.00050429435,False,pytorch_NN,Serine,9AA,positive,7
12,0.019961104,False,pytorch_NN,Serotonin,9AA,positive,7
13,5.8155623e-05,False,pytorch_NN,Succinic acid,9AA,positive,7
14,0.3014642,False,pytorch_NN,Sulfo GalCer 18:0(2S-OH),9AA,positive,7
0,0.96823734,True,pytorch_NN,Prostaglandin E1,9AA,positive,8
1,0.97744215,True,pytorch_NN,Pyridoxine,9AA,positive,8
2,0.9867899,True,pytorch_NN,Riboflavin,9AA,positive,8
3,0.99827063,True,pytorch_NN,S-Adenosylhomocysteine,9AA,positive,8
4,0.9998822,True,pytorch_NN,S-Adenosylmethionine,9AA,positive,8
5,0.99965656,True,pytorch_NN,SM d18:1-16:0,9AA,positive,8
6,2.729982e-05,False,pytorch_NN,Taurine,9AA,positive,8
7,0.9993144,False,pytorch_NN,Taurocholic acid,9AA,positive,8
8,0.012646503,False,pytorch_NN,Thymine,9AA,positive,8
9,0.005582307,False,pytorch_NN,Tyrosine,9AA,positive,8
10,0.0006589291,False,pytorch_NN,Uracil,9AA,positive,8
11,0.096699856,False,pytorch_NN,Ureidosuccinic acid,9AA,positive,8
12,0.00010187804,False,pytorch_NN,Uric acid,9AA,positive,8
13,0.037502494,False,pytorch_NN,Uridine,9AA,positive,8
14,0.0005402286,False,pytorch_NN,Uridine diphosphate,9AA,positive,8
0,0.9655109,True,pytorch_NN,Spermidine,9AA,positive,9
1,0.40100756,True,pytorch_NN,TG 15:0-18:1-15:0,9AA,positive,9
2,0.9998641,True,pytorch_NN,Tetrahydrofolic acid,9AA,positive,9
3,0.99861646,True,pytorch_NN,Thiamine,9AA,positive,9
4,0.008790149,True,pytorch_NN,Tryptophan,9AA,positive,9
5,0.9727436,True,pytorch_NN,Urocanic acid,9AA,positive,9
6,5.498044e-06,False,pytorch_NN,Uridine diphosphate glucose,9AA,positive,9
7,4.183655e-05,False,pytorch_NN,Uridine diphosphate glucuronic acid,9AA,positive,9
8,0.00016907282,False,pytorch_NN,Uridine diphosphate-N-acetylglucosamine,9AA,positive,9
