Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
0.0016988982868000144,-0.01780447031260806,0.0011589427818431773,1773,MAPS,positive
0.0016987592805507682,0.010912778045937203,-0.0008524303868868567,456,9AA,positive
0.0016958425040094916,0.05694088364360694,-0.003932497685764737,1319,CHCA,positive
0.0016948614298874446,-0.08524026766588651,0.005886676400583118,755,NEDC,negative
0.0016941291936968224,0.0700933034387825,-0.004032991241960037,301,DHB,positive
0.0016917356380963472,0.05694088364360694,-0.003932497685764737,1128,CHCA,positive
0.001691077620937274,-0.007833934782664358,0.00045299754622758596,473,CHCA,negative
0.0016910298984357448,-0.05747009833784845,0.0037810173692447457,478,NEDC,positive
0.0016910097185188987,0.009737843842900945,-0.0011100602536070218,592,pNA,negative
0.0016901154432637155,-0.007833934782664358,0.00045299754622758596,334,CHCA,negative
0.0016895628328088075,0.05086923049537144,-0.0046527657620230615,1974,9AA,negative
0.0016887150369847433,0.0008237411350125807,-0.00012495620336273525,640,MAPS,negative
0.0016887031442354035,-0.007808444041996976,0.0005194308128702205,41,ClCCA,negative
0.0016865963872105842,0.026285218711737158,-0.001657121073693546,1879,ClCCA,positive
0.0016857992025246051,0.0008237411350125807,-0.00012495620336273525,766,MAPS,negative
0.0016846651380712336,-0.08524026766588651,0.005886676400583118,1652,NEDC,negative
0.0016846437859879182,0.010912778045937203,-0.0008524303868868567,370,9AA,positive
0.0016831300390608153,0.002377027793796887,-0.0002197730980858931,1550,pNA,positive
0.0016825888066868617,-0.007808444041996976,0.0005194308128702205,183,ClCCA,negative
0.0016819049583905654,0.07438447142981604,-0.0054482203333231245,2044,CMBT,positive
0.001681489555203646,0.06611216320265549,-0.005006697266834522,1733,NOR,positive
0.0016810428944362956,0.010912778045937203,-0.0008524303868868567,106,9AA,positive
0.0016810167086351126,0.09203329299596945,-0.0066704457622993405,755,NOR,negative
0.0016806494135849018,0.0700933034387825,-0.004032991241960037,1226,DHB,positive
0.0016741078224374467,0.05694088364360694,-0.003932497685764737,89,CHCA,positive
0.0016738918205456068,-0.04862582156147913,0.0036256023499807244,1228,CMBT,negative
0.0016735305815386626,0.05086923049537144,-0.0046527657620230615,27,9AA,negative
