,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
248,2.4786075712722377,3.159179416578102,MLP,Nicotinamide riboside,9AA,positive,5,0
249,2.886842474021856,3.3007035964865628,MLP,Nicotinamide ribotide,9AA,positive,5,0
250,0.0,3.2399568104196543,MLP,Melatonin,9AA,positive,5,0
251,0.0,4.001884518998316,MLP,Methionine,9AA,positive,5,0
252,0.0,3.0822997579441056,MLP,N-Acetylaspartic acid,9AA,positive,5,0
253,0.0,3.1264548267011065,MLP,N-Acetylgalactosamine 6-phosphate,9AA,positive,5,0
254,0.0,3.0882273535626843,MLP,Niacinamide,9AA,positive,5,0
255,0.0,3.148054498164203,MLP,Nicotinic acid,9AA,positive,5,0
256,0.0,3.049002595086301,MLP,Orotic acid,9AA,positive,5,0
257,0.0,3.086973628992168,MLP,Oxalacetic acid,9AA,positive,5,0
258,0.0,3.044783913096792,MLP,PI 16:0-18:1,9AA,positive,5,0
259,2.332565295780774,3.4627542823871207,MLP,Lyso PS 17:1,9AA,positive,6,0
260,2.617136168031702,3.1612419488605417,MLP,N-Acetylglucosamine,9AA,positive,6,0
261,5.06130744676179,2.824383370756593,MLP,"N6,N6,N6-Trimethyllysine",9AA,positive,6,0
262,1.9363460543438888,3.172033900095637,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,positive,6,0
263,2.2584431954377955,3.1881489730227206,MLP,PA 16:0-18:1,9AA,positive,6,0
264,4.777583767375446,3.3398221501977865,MLP,PC (O) C16-18:1,9AA,positive,6,0
265,4.635371635511165,3.396866680127577,MLP,PC 15:0-18:1,9AA,positive,6,0
266,0.0,2.9849317618798388,MLP,Ornithine,9AA,positive,6,0
267,0.0,3.405944550572425,MLP,PE 18:0-20:4,9AA,positive,6,0
268,0.0,2.9543523771686027,MLP,PI(5)P 18:1,9AA,positive,6,0
269,0.0,3.1697936856636044,MLP,Palmitic acid,9AA,positive,6,0
270,0.0,2.836465066633523,MLP,Palmitoyl-CoA,9AA,positive,6,0
271,0.0,3.151013541700647,MLP,Pantothenic acid,9AA,positive,6,0
272,0.0,3.286829923604277,MLP,Phenylalanine,9AA,positive,6,0
273,0.0,3.2418714536691127,MLP,Phosphoenolpyruvic acid,9AA,positive,6,0
274,0.0,3.158290826855759,MLP,Pyruvic acid,9AA,positive,6,0
275,1.432026056628531,3.513245271649908,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,positive,7,0
276,3.354504771992124,3.2144444838293964,MLP,Oxidized glutathione,9AA,positive,7,0
277,2.4888701861266345,3.156850418717283,MLP,PG 16:0-18:1,9AA,positive,7,0
278,2.332154358619539,3.1768498628303035,MLP,PS (POPS) 16:0-18:1,9AA,positive,7,0
279,1.6394397303685135,3.343829787707058,MLP,Pantetheine,9AA,positive,7,0
280,1.0793084756925897,3.179506336225195,MLP,Pyridoxine,9AA,positive,7,0
281,0.0,3.524952642584612,MLP,Proline,9AA,positive,7,0
282,0.0,4.0989786169973765,MLP,Putrescine,9AA,positive,7,0
283,0.0,3.1512034630966475,MLP,Quinolinic acid,9AA,positive,7,0
284,0.0,3.128895080427565,MLP,Retinoic acid,9AA,positive,7,0
