,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
290,5.007917180811387,5.236503876558931,MLP,Propionylcarnitine,9AA,positive,8,0
291,3.536423146343019,2.83208675051775,MLP,Prostaglandin E1,9AA,positive,8,0
292,3.7775962294452263,1.8898320647631244,MLP,S-Adenosylhomocysteine,9AA,positive,8,0
293,3.095665314980533,2.1107443461013755,MLP,S-Adenosylmethionine,9AA,positive,8,0
294,4.986752623858816,3.5783978137862005,MLP,SM d18:1-16:0,9AA,positive,8,0
295,3.2822390738927743,5.383866002228693,MLP,Spermidine,9AA,positive,8,0
296,0.0,2.7110292395754,MLP,Serotonin,9AA,positive,8,0
297,0.0,-0.6269267617490368,MLP,Sulfo GalCer 18:0(2S-OH),9AA,positive,8,0
298,0.0,5.807041052095959,MLP,Taurine,9AA,positive,8,0
299,0.0,1.13934313138321,MLP,Taurocholic acid,9AA,positive,8,0
300,0.0,2.3406830967999053,MLP,Ureidosuccinic acid,9AA,positive,8,0
301,0.0,1.631423513099448,MLP,Uric acid,9AA,positive,8,0
302,0.0,2.3588958845439394,MLP,Uridine,9AA,positive,8,0
303,0.0,3.301115729279171,MLP,Uridine diphosphate,9AA,positive,8,0
304,0.0,3.027749668738997,MLP,Uridine diphosphate glucose,9AA,positive,8,0
305,4.877271833226356,2.7894157978559746,MLP,Riboflavin,9AA,positive,9,0
306,1.2166864004219589,2.252343406001853,MLP,TG 15:0-18:1-15:0,9AA,positive,9,0
307,4.079660655618825,3.341878530037968,MLP,Tetrahydrofolic acid,9AA,positive,9,0
308,3.3934654839929106,2.9258316575887986,MLP,Thiamine,9AA,positive,9,0
309,1.5879780805726431,2.6570953758938773,MLP,Tryptophan,9AA,positive,9,0
310,2.206230133501576,2.5958816432791694,MLP,Urocanic acid,9AA,positive,9,0
311,0.0,2.533651658017817,MLP,Tyrosine,9AA,positive,9,0
312,0.0,3.368624518256714,MLP,Uridine diphosphate glucuronic acid,9AA,positive,9,0
313,0.0,2.5899781071077546,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,positive,9,0
314,0.0,3.0609229309872528,MLP,Valine,9AA,positive,9,0
315,0.0,1.7205010633574709,MLP,Xanthine,9AA,positive,9,0
316,0.0,4.929690733322572,MLP,alpha-tocopherol,9AA,positive,9,0
317,0.0,3.709921343556086,MLP,cis-Aconitic acid,9AA,positive,9,0
318,0.0,2.7897832617868827,MLP,gamma-Aminobutyric acid,9AA,positive,9,0
319,0.0,2.431400858488148,MLP,myo-Inositol,9AA,positive,9,0
320,3.173298237829419,2.2574146555850816,MLP,2-Oxoglutaric acid,CHCA,negative,0,0
321,3.273381570635653,3.615135214382301,MLP,3-Phosphoglyceric acid,CHCA,negative,0,0
322,3.4525978690783834,2.4807072921601114,MLP,"4,5-Dihydroorotic acid",CHCA,negative,0,0
323,2.941372351658768,3.216791875390485,MLP,6-Phosphogluconic acid,CHCA,negative,0,0
324,3.992240545175011,4.527253159010366,MLP,Acetyl-CoA,CHCA,negative,0,0
325,4.526201599728994,3.331895501892248,MLP,Adenosine diphosphate,CHCA,negative,0,0
326,1.3894938972636084,2.820764192382901,MLP,Arginine,CHCA,negative,0,0
327,3.2472035399054384,2.4934910605354155,MLP,Ascorbic acid,CHCA,negative,0,0
328,0.0,2.079210752409974,MLP,3-Hydroxyanthranilic acid,CHCA,negative,0,0
329,0.0,3.705600041316676,MLP,3-Hydroxymethylglutaric acid,CHCA,negative,0,0
